Lot Area,Overall Cond,Year Built,Gr Liv Area,TotRms AbvGrd,Mo Sold,Yr Sold,Bldg Type,Neighborhood,SalePrice
6117,8,1911,1506,8,5,2007,1Fam,BrkSide,53345.43059999999
4766,4,2007,1644,5,7,2008,TwnhsE,Somerst,157465.4134
9902,8,1907,1457,7,3,2009,1Fam,OldTown,1263.6217999999935
11232,7,1976,1010,4,3,2010,1Fam,NAmes,-18465.58560000002
16336,4,2017,1113,4,4,2007,1Fam,Gilbert,309613.2736
7005,5,1997,1368,5,6,2006,TwnhsE,NridgHt,55222.409
3922,5,1984,2403,6,2,2008,TwnhsE,Somerst,208342.8996
3782,4,2010,1446,5,9,2009,TwnhsE,Somerst,97679.80559999999
4447,4,1907,1026,4,2,2007,1Fam,OldTown,49794.8616
3975,4,2014,1560,7,10,2006,TwnhsE,Blmngtn,160660.24
8314,5,1980,863,5,12,2009,1Fam,Sawyer,10544.749799999998
13161,5,2000,1115,6,8,2009,1Fam,SawyerW,-44769.24300000002
8674,4,2008,1545,6,8,2009,1Fam,Somerst,31103.4516
15666,4,1951,2070,8,10,2009,1Fam,ClearCr,336396.4172
12360,4,1960,1421,5,8,2007,1Fam,NAmes,-33246.263999999996
12297,4,2011,2554,9,7,2007,1Fam,StoneBr,348655.8819
24726,4,1985,1662,7,6,2009,1Fam,Gilbert,162459.8634
2294,6,1962,1447,6,7,2009,Twnhs,NPkVill,115013.5912
12666,4,1990,1727,8,7,2006,Duplex,Mitchel,-40265.66440000001
9841,5,2010,1218,6,1,2010,1Fam,Timber,2853.7478999999876
3178,5,2010,1222,4,8,2009,TwnhsE,Blmngtn,123091.39259999999
15958,5,2008,2775,10,1,2006,1Fam,StoneBr,189167.69199999998
8164,5,2001,1476,5,3,2009,1Fam,Gilbert,31757.475600000005
16760,4,2001,1780,6,4,2009,1Fam,NridgHt,228953.8936
9564,6,1950,1204,6,8,2009,1Fam,NAmes,5654.13519999999
7036,5,1969,1507,7,6,2009,Duplex,SawyerW,33810.9408
23392,4,2008,2023,9,9,2006,1Fam,Gilbert,62384.51199999999
14179,5,2003,1028,6,8,2007,1Fam,CollgCr,-58183.3812
7204,5,1993,1198,6,11,2009,1Fam,Gilbert,46071.6492
10126,5,2011,1686,7,8,2007,1Fam,Somerst,425641.8226
7973,6,1924,1403,5,3,2008,1Fam,IDOTRR,18228.4056
14947,4,1990,1628,6,11,2008,1Fam,Gilbert,343994.2657
15329,5,2015,2061,6,8,2007,1Fam,NridgHt,617777.34
5957,6,1914,1156,5,7,2008,1Fam,BrkSide,48206.7105
9531,5,2008,1700,6,1,2009,1Fam,NridgHt,442366.51170000003
3171,5,1916,969,5,7,2007,1Fam,OldTown,68751.6404
7763,5,2000,1741,5,11,2009,1Fam,SawyerW,38209.302200000006
9590,5,2003,2474,9,10,2007,1Fam,NridgHt,442451.8276
4451,5,2001,842,4,5,2009,TwnhsE,CollgCr,78206.4962
9788,6,1967,1429,7,6,2008,1Fam,NAmes,3912.9899999999907
10061,4,1994,1205,4,8,2009,1Fam,SawyerW,-1126.932300000015
8847,5,1995,1387,7,3,2007,1Fam,Gilbert,18598.351200000005
7612,8,1940,1032,4,3,2009,1Fam,NAmes,34556.9868
8931,5,1971,1798,7,9,2009,Duplex,NAmes,14573.570099999997
8442,6,1952,787,3,8,2009,1Fam,NAmes,17543.391600000003
9852,6,1971,1113,5,7,2008,1Fam,Mitchel,2535.447199999995
9151,5,2017,1461,5,6,2009,1Fam,CollgCr,449858.806
13132,5,1954,1729,9,11,2008,Duplex,NAmes,-44715.56400000001
11513,7,1914,1519,6,6,2006,1Fam,Crawfor,394588.0371
4472,6,1908,937,5,5,2010,1Fam,OldTown,60524.4136
2661,7,1977,1481,5,5,2008,TwnhsE,MeadowV,95428.2831
8367,4,1976,942,4,6,2007,1Fam,Sawyer,21790.751999999993
7033,7,1920,924,5,7,2008,1Fam,IDOTRR,37199.94929999999
5373,6,1909,1488,6,9,2009,1Fam,OldTown,55024.746699999996
11504,4,1958,947,4,8,2007,1Fam,Edwards,-12022.825600000011
1482,6,1975,1226,5,10,2009,TwnhsE,Blueste,116481.0946
9041,4,1985,1203,5,6,2009,1Fam,CollgCr,16982.643299999996
9681,6,1982,1310,7,6,2008,1Fam,NWAmes,4660.685700000002
8018,5,1970,1547,8,12,2007,Duplex,NAmes,25658.971999999994
7554,5,2014,1165,4,8,2009,1Fam,SawyerW,35372.095199999996
14426,7,1985,2518,10,11,2006,1Fam,NoRidge,292410.6742
2552,4,2012,1427,5,5,2010,Twnhs,Somerst,114813.8992
13323,5,1973,1396,6,3,2009,1Fam,Mitchel,-53088.5803
13030,5,1994,1790,6,3,2010,1Fam,Mitchel,360007.9216
12189,8,1963,2077,8,7,2007,1Fam,ClearCr,388391.90650000004
7305,5,1945,409,3,3,2008,1Fam,OldTown,12604.245499999997
8513,3,1927,671,3,6,2006,1Fam,IDOTRR,10694.950099999995
13257,5,1978,2071,7,2,2010,1Fam,NWAmes,361253.13430000003
8106,5,1985,1475,7,10,2008,1Fam,Gilbert,31219.180800000002
9581,6,1944,1175,5,5,2006,1Fam,OldTown,5045.891299999988
9608,6,1963,1330,7,12,2006,1Fam,NAmes,6316.570399999997
8216,7,1960,865,4,4,2006,1Fam,Edwards,20501.19279999999
6956,6,1953,1216,6,5,2007,1Fam,IDOTRR,42948.7092
23194,5,2007,2031,9,9,2006,1Fam,Gilbert,68051.05779999998
9851,2,1935,1114,6,3,2009,1Fam,Edwards,931.5479999999952
9589,6,1958,1144,5,6,2010,1Fam,Edwards,5271.239399999991
12815,6,1992,835,4,4,2010,1Fam,Mitchel,-41960.1085
5328,6,1986,1752,4,6,2006,TwnhsE,StoneBr,112083.1488
8306,6,1902,1992,8,6,2007,2fmCon,IDOTRR,20201.79699999999
8666,5,2004,1901,8,4,2006,1Fam,Gilbert,28650.318
8687,4,1911,1159,5,5,2007,1Fam,BrkSide,18899.322
9304,4,2006,1089,5,2,2008,1Fam,Mitchel,10190.69279999999
10051,6,1952,1054,5,8,2008,1Fam,NAmes,-744.2430000000168
70207,5,1962,1528,5,12,2006,1Fam,ClearCr,465974.3864
8012,7,1977,1193,6,3,2010,1Fam,Gilbert,36878.19519999999
6672,6,1954,715,4,7,2008,1Fam,BrkSide,24203.878399999994
7154,5,1973,864,5,9,2007,1Fam,CollgCr,36208.5196
35159,4,1966,1579,4,5,2007,1Fam,Timber,385878.46420000005
10637,4,1994,1348,6,3,2008,1Fam,CollgCr,-11386.375
9026,6,1865,1756,7,6,2006,1Fam,OldTown,12146.656599999988
10068,5,1967,1399,5,4,2006,1Fam,Mitchel,-1158.842399999994
12283,5,1931,731,5,10,2006,1Fam,IDOTRR,-11707.6806
8807,5,2002,1457,6,9,2007,1Fam,CollgCr,22982.429199999984
7359,5,1994,1570,6,8,2007,TwnhsE,NridgHt,73158.60509999999
10097,5,1984,1114,6,4,2009,1Fam,NWAmes,-1623.6150999999954
7536,5,1994,2304,7,8,2007,1Fam,Gilbert,50082.27839999998
8122,5,1968,858,4,10,2007,1Fam,Edwards,14831.129399999998
7695,5,1990,1729,6,11,2009,1Fam,SawyerW,39709.15700000001
6045,7,1952,905,4,8,2008,1Fam,OldTown,42813.666
11527,4,2001,1833,8,9,2006,1Fam,Timber,374637.5749
6374,7,1954,1152,6,9,2006,1Fam,Edwards,44588.92199999999
21041,4,2010,2095,7,1,2006,1Fam,Somerst,395369.7241
4413,5,2000,843,3,11,2007,TwnhsE,CollgCr,73975.2322
13037,4,1965,1233,6,6,2007,1Fam,Crawfor,-46386.83430000002
2654,6,1982,1311,4,6,2008,TwnhsE,MeadowV,84009.5906
5325,7,1979,1776,4,6,2006,TwnhsE,StoneBr,112277.605
9902,4,2002,1216,6,6,2009,1Fam,Mitchel,1691.6269999999786
13602,5,1965,933,5,11,2006,1Fam,Sawyer,-49014.57520000002
5420,7,1940,1616,4,10,2007,1Fam,OldTown,69474.478
12901,5,1959,2156,8,6,2009,1Fam,NAmes,373666.98459999997
14121,6,1970,1425,6,11,2006,1Fam,Sawyer,360530.9704
10811,3,1955,1191,5,12,2006,1Fam,NAmes,-10880.132700000016
10293,5,2006,1474,8,7,2007,1Fam,Gilbert,-5214.110799999995
10686,4,1991,1651,6,11,2007,1Fam,Timber,412409.49860000005
7448,4,2014,1802,6,4,2008,1Fam,Somerst,51911.508
6844,5,1951,1151,6,7,2008,Duplex,Edwards,25971.355199999998
8180,7,1955,966,5,2,2007,1Fam,NAmes,24829.895999999993
13592,6,1986,1991,5,4,2009,1Fam,Crawfor,355033.49199999997
11599,5,1934,1074,4,11,2007,1Fam,NAmes,-19116.20490000001
12751,6,1996,1677,6,6,2008,1Fam,NWAmes,366852.058
3195,4,1997,1148,4,9,2009,TwnhsE,Blmngtn,109374.7235
10594,6,2003,1648,5,4,2009,1Fam,CollgCr,416909.5726
10848,9,1905,1531,5,7,2007,1Fam,OldTown,-12478.9136
5345,5,1992,1561,4,7,2007,TwnhsE,Somerst,95916.275
12295,5,2007,1950,5,10,2007,1Fam,Somerst,333099.3856
22145,5,1937,2622,9,7,2006,2fmCon,OldTown,209247.1546
5919,8,1899,1072,4,9,2008,1Fam,OldTown,38730.3224
11996,5,2001,1402,7,10,2007,1Fam,Gilbert,-33115.83560000002
7188,4,1958,1366,6,2,2007,1Fam,NAmes,36515.78839999999
16143,5,1995,1848,8,3,2006,1Fam,NridgHt,229185.1713
4071,8,1941,1367,5,6,2009,1Fam,OldTown,75980.135
11265,5,2016,2517,10,6,2008,1Fam,StoneBr,388460.7621
11559,5,1946,885,3,5,2008,1Fam,NAmes,-18138.341400000005
9064,6,1980,1056,5,6,2006,1Fam,Sawyer,13331.82239999999
8700,6,1959,921,5,10,2006,1Fam,Sawyer,17294.42
3160,4,1993,1145,5,9,2009,TwnhsE,Blmngtn,109284.73199999999
8315,6,1975,946,4,8,2007,1Fam,NAmes,21556.542
9315,6,1940,1642,6,7,2009,1Fam,Edwards,10564.617999999988
10954,5,1915,2579,11,1,2007,Duplex,SWISU,-14202.675000000017
12808,6,1955,1002,3,1,2006,1Fam,NAmes,-38945.55600000001
2932,4,1999,1521,4,5,2006,TwnhsE,Blmngtn,175950.0852
2648,4,1996,1607,7,12,2008,Twnhs,Somerst,146866.4928
9322,2,1898,795,5,9,2009,1Fam,IDOTRR,2974.7249999999985
13770,6,1951,1177,6,10,2007,1Fam,Sawyer,-51402.065
1687,4,1964,987,5,6,2006,Twnhs,BrDale,78027.4806
18664,5,1960,1586,5,7,2006,1Fam,NWAmes,264082.77520000003
13027,5,1978,1800,7,3,2010,1Fam,Mitchel,359618.13190000004
11799,4,1944,1114,4,6,2010,1Fam,Edwards,-11531.230200000005
6847,5,2000,1495,4,6,2010,TwnhsE,StoneBr,66952.37849999999
9195,4,1995,994,5,2,2008,1Fam,CollgCr,11585.72099999999
8568,4,1956,1037,6,12,2006,Duplex,NAmes,11610.2264
17436,4,1982,2488,6,1,2010,1Fam,NoRidge,163867.194
2441,4,1998,1625,6,10,2008,Twnhs,NridgHt,116377.6081
11083,4,1960,1732,10,11,2008,Duplex,NAmes,-15741.729900000006
9575,6,1994,2217,11,2,2007,Duplex,Edwards,6020.889999999985
25311,4,1961,1038,4,1,2007,1Fam,Mitchel,226330.4773
8436,1,1901,1516,6,10,2009,1Fam,IDOTRR,13337.948399999994
10579,4,2007,2147,8,11,2007,1Fam,NridgHt,410559.2608
7171,7,1939,865,5,7,2007,1Fam,NAmes,36399.0456
11875,6,1968,1968,7,11,2007,1Fam,NWAmes,393958.5421
13473,6,1954,938,5,11,2006,1Fam,Sawyer,-47444.3057
8195,6,1933,2493,13,7,2009,Duplex,Crawfor,37088.59849999999
9115,4,1930,1265,6,10,2009,1Fam,Edwards,9336.307499999995
8094,4,2002,1789,7,6,2009,1Fam,Gilbert,34207.17259999999
8729,5,2002,1562,6,8,2009,1Fam,Somerst,29905.358999999997
12523,4,2001,1624,4,7,2006,1Fam,NoRidge,363491.7697
9356,5,2010,1311,6,3,2007,1Fam,CollgCr,11431.386399999988
5165,5,1940,1656,3,8,2009,1Fam,IDOTRR,65758.4175
14011,6,1955,1808,5,7,2006,1Fam,Crawfor,337960.0942
20036,6,1965,1218,7,9,2006,1Fam,Mitchel,297437.02
15370,4,2017,2216,7,7,2009,1Fam,NridgHt,225286.9066
12368,4,2002,1975,5,10,2007,1Fam,Somerst,330788.07039999997
11565,5,1972,1467,4,6,2006,1Fam,NAmes,-24635.290999999997
9073,6,1895,1024,5,5,2008,1Fam,OldTown,10631.021399999998
3936,5,2012,1393,7,2,2007,TwnhsE,Blmngtn,117307.4736
8195,5,1989,1471,6,2,2010,1Fam,NAmes,38404.08249999999
24957,4,1967,1644,7,6,2007,Duplex,Mitchel,214483.87180000002
7928,5,1960,1023,4,4,2007,1Fam,Sawyer,24428.465599999996
3496,7,1952,1286,5,4,2009,1Fam,OldTown,71412.6192
2638,5,1998,1614,6,6,2010,Twnhs,NridgHt,128530.9494
8126,6,1943,864,5,4,2006,1Fam,Edwards,21570.114799999996
7607,5,2001,1757,5,2,2010,TwnhsE,NridgHt,505988.0174
9299,5,1995,1598,6,6,2006,1Fam,CollgCr,12610.849799999996
7777,4,1963,905,4,11,2006,1Fam,NAmes,25703.659799999994
12655,4,2020,1539,7,5,2009,1Fam,Somerst,362848.7956
7429,7,1921,1254,5,6,2006,1Fam,BrkSide,32559.65819999999
16602,5,2003,1762,6,6,2009,1Fam,ClearCr,275089.1536
16459,5,1973,1834,7,12,2006,1Fam,Crawfor,286055.9035
7160,7,1944,1038,5,6,2006,1Fam,NAmes,31309.296000000002
4957,4,1996,1583,4,8,2008,TwnhsE,StoneBr,144604.4949
12790,5,1963,2079,7,6,2009,1Fam,NWAmes,372437.0446
40130,5,2014,4669,10,10,2007,1Fam,Edwards,298036.1322
5141,4,2020,1301,5,3,2009,Twnhs,NridgHt,89175.7693
8093,5,2016,1708,6,8,2006,TwnhsE,StoneBr,490342.6158
4052,4,1997,1340,4,8,2008,TwnhsE,NAmes,108267.2804
11228,5,1969,1036,5,2,2008,1Fam,Sawyer,-15877.0576
7737,5,1969,957,6,7,2006,1Fam,SawyerW,27026.330099999992
10077,3,1922,1879,8,1,2007,2fmCon,OldTown,-944.027700000006
11000,4,2010,2573,9,1,2007,1Fam,NoRidge,397441.42960000003
10743,5,1897,720,4,11,2009,1Fam,OldTown,-5829.578000000009
9896,5,1977,1096,6,4,2008,1Fam,Edwards,1270.4951999999903
9886,7,1926,1940,8,6,2009,1Fam,OldTown,2052.2393999999913
12973,6,1963,913,4,9,2008,1Fam,Sawyer,-43016.03970000002
7320,6,1949,970,5,8,2006,1Fam,IDOTRR,27542.09199999999
8915,5,1905,948,3,5,2009,1Fam,BrkSide,13153.997499999998
10097,4,1989,1698,7,3,2007,1Fam,Gilbert,-1558.3341000000073
11822,4,2004,1553,6,7,2007,1Fam,Somerst,382081.91260000004
13232,4,2013,1586,7,5,2008,1Fam,Somerst,351399.9744
8160,4,2016,1448,6,10,2008,1Fam,CollgCr,34793.296
9513,5,1961,1645,6,2,2007,1Fam,NAmes,7401.474699999992
8422,4,1990,1716,6,7,2007,1Fam,SawyerW,31531.753800000006
8809,5,2016,2210,10,6,2009,1Fam,NridgHt,470962.2283
13649,5,1977,1689,7,3,2007,1Fam,Sawyer,-52722.576499999996
8901,2,1931,1073,5,11,2007,1Fam,IDOTRR,7306.9212999999945
11411,4,1999,1826,6,4,2009,1Fam,CollgCr,391350.6268
11150,5,1997,1944,8,7,2006,Duplex,Mitchel,-19622.10500000001
4585,4,1928,1342,6,5,2008,1Fam,OldTown,52834.6965
11362,5,2014,1646,7,5,2007,1Fam,NridgHt,395563.7254
10499,4,2020,1464,6,5,2010,1Fam,Somerst,415882.5625
7381,5,1947,1094,4,9,2009,1Fam,Edwards,32858.4978
16133,4,2013,1858,7,3,2006,1Fam,NridgHt,228861.1543
7161,6,1961,894,5,5,2010,1Fam,NAmes,38032.663499999995
16617,7,1919,2347,9,7,2006,1Fam,Crawfor,271343.1509
12220,4,1998,1976,5,10,2007,1Fam,Somerst,335960.35959999997
7590,7,1932,1436,7,6,2007,1Fam,Crawfor,45915.079
15652,7,1944,1533,6,10,2009,1Fam,Crawfor,340807.24120000005
10414,5,1956,1221,4,7,2007,1Fam,NAmes,-5914.445399999997
13671,4,2014,2676,7,3,2009,1Fam,NridgHt,636135.4925
14030,5,2014,2218,9,8,2006,1Fam,NridgHt,309475.6726
7170,6,1976,985,5,11,2007,1Fam,NAmes,36665.197
13707,4,1998,1119,6,6,2008,1Fam,GrnHill,370531.7048
10875,4,1966,1245,4,5,2008,1Fam,NAmes,-13811.787500000006
4713,5,1992,1637,4,12,2007,TwnhsE,Crawfor,124841.4023
2981,4,2022,1230,4,6,2009,TwnhsE,Somerst,122085.6784
8442,6,1969,1572,6,4,2010,1Fam,SawyerW,26569.66459999999
4423,5,2017,843,2,5,2008,TwnhsE,CollgCr,78142.1355
6347,5,2022,1364,5,6,2010,TwnhsE,NridgHt,82023.73139999999
7396,5,1956,1083,4,9,2009,1Fam,Edwards,32304.70319999999
10399,4,1952,999,4,11,2009,1Fam,NAmes,-4593.846600000004
8650,5,1954,929,4,10,2006,1Fam,Sawyer,17989.83
12116,4,2001,2535,7,6,2007,1Fam,NoRidge,348533.70279999997
4054,5,1961,1069,3,7,2010,TwnhsE,NPkVill,75976.79879999999
12033,3,1997,2577,9,11,2006,1Fam,SawyerW,386699.8433
8357,7,1974,991,6,11,2008,1Fam,CollgCr,24695.604399999997
18015,6,1975,1128,5,3,2007,1Fam,Gilbert,305961.5346
4501,4,2007,1205,4,6,2009,TwnhsE,Mitchel,89084.8998
4418,4,1989,852,4,4,2006,TwnhsE,CollgCr,73957.5926
6986,4,1986,1541,8,6,2009,Duplex,SawyerW,35803.90879999999
11193,6,1969,1213,5,6,2006,1Fam,Veenker,-19839.351400000014
5943,8,1898,1077,5,9,2008,1Fam,OldTown,38388.5511
11328,5,1987,1511,6,5,2008,1Fam,NWAmes,-24056.985600000015
10283,6,1927,837,4,5,2008,1Fam,BrkSide,-3686.5278000000108
5501,5,2011,1080,4,5,2006,1Fam,SWISU,70639.6988
10418,5,1994,2721,8,8,2007,1Fam,SawyerW,416895.70160000003
5983,7,1951,960,4,6,2006,2fmCon,OldTown,54603.884399999995
7451,5,1996,1936,7,6,2007,1Fam,Somerst,60618.0239
14484,5,2008,1850,7,3,2009,1Fam,Timber,287954.3372
7849,4,2013,1963,7,5,2010,1Fam,Gilbert,46530.8622
8717,7,1927,1404,6,7,2007,1Fam,BrkSide,19827.225399999996
8609,5,2010,1745,6,8,2006,1Fam,CollgCr,28466.954100000003
10322,7,1911,1272,6,8,2007,1Fam,OldTown,-4116.222600000008
10143,4,1998,1620,6,7,2009,1Fam,Gilbert,-2712.910200000013
21012,4,1991,2083,7,1,2006,1Fam,Somerst,396905.7128
23256,5,2008,2034,8,9,2006,1Fam,Gilbert,67328.228
6266,5,1933,1361,5,11,2007,1Fam,BrkSide,47887.0564
7238,6,1967,1592,6,3,2008,1Fam,NAmes,41508.16459999999
35810,5,1988,3621,9,7,2006,1Fam,NoRidge,543789.622
12405,5,1998,1835,6,6,2009,1Fam,CollgCr,373740.4121
9059,4,2015,1597,5,6,2009,1Fam,Somerst,19656.737200000003
8150,4,1933,537,3,4,2010,1Fam,IDOTRR,15288.214999999997
6925,4,1998,1366,5,9,2006,TwnhsE,NridgHt,62371.14749999999
7147,3,1945,1537,7,8,2007,1Fam,NAmes,32938.74089999999
1679,5,1977,1085,5,10,2006,Twnhs,BrDale,89318.4461
10571,5,1957,1766,7,5,2010,1Fam,NAmes,-7821.272500000021
3853,6,1985,1305,3,7,2007,TwnhsE,Greens,132016.66019999998
10660,6,1968,886,4,2,2010,1Fam,CollgCr,-8467.073999999993
11165,4,2000,2489,9,10,2009,1Fam,Somerst,374791.9411
8283,5,1973,869,5,6,2007,1Fam,NAmes,21188.29509999999
5501,5,2009,1073,3,5,2006,1Fam,SWISU,70830.00649999999
9081,8,1947,2355,9,5,2010,1Fam,Crawfor,453970.98620000004
10487,5,1995,2033,8,2,2008,1Fam,SawyerW,418377.5456
9261,4,1938,752,4,6,2010,1Fam,Sawyer,6235.755899999989
9841,3,1944,1113,5,3,2009,1Fam,Edwards,1001.9861999999994
10834,6,1976,811,3,6,2006,1Fam,Sawyer,-10819.231800000009
14783,4,2013,1769,6,8,2006,1Fam,NridgHt,249767.3735
6969,7,1972,1135,6,4,2007,1Fam,NAmes,41107.0282
53010,6,1947,1656,5,3,2008,1Fam,ClearCr,183266.5198
9779,7,1967,891,4,7,2006,1Fam,CollgCr,3309.806500000006
8977,5,1994,1465,7,7,2007,1Fam,Gilbert,18421.46789999999
16154,5,1990,1489,5,8,2007,1Fam,SawyerW,296168.4734
9966,5,2013,1441,7,12,2007,1Fam,Gilbert,573.9029999999912
8948,3,1909,824,4,9,2006,1Fam,IDOTRR,7569.876399999994
7188,6,1982,1044,5,7,2006,1Fam,Sawyer,44773.2264
8710,4,2002,1776,7,4,2009,1Fam,CollgCr,25897.781999999977
10764,7,1945,1455,6,8,2009,1Fam,NAmes,-10145.308799999999
9524,5,1962,1048,4,6,2009,1Fam,NAmes,6087.9447999999975
5039,6,1920,1020,5,4,2008,1Fam,BrkSide,55753.2063
13956,4,1994,1851,8,11,2006,1Fam,Gilbert,342973.0756
6575,5,1946,720,4,7,2008,1Fam,BrkSide,24910.71
8087,5,2003,1548,6,3,2006,1Fam,Somerst,35494.375899999985
8153,4,2006,1474,6,6,2007,1Fam,CollgCr,33202.78019999998
8333,4,1958,1705,7,6,2006,Duplex,NAmes,24073.146999999997
7938,8,1978,1031,4,7,2009,1Fam,NAmes,32373.399999999994
3198,5,1993,1461,6,5,2006,TwnhsE,Blmngtn,147389.8172
9870,5,1977,1257,6,6,2008,1Fam,Edwards,1915.2770000000019
17537,4,1965,1468,6,12,2009,1Fam,NAmes,311624.83290000004
8359,6,1941,1349,5,6,2008,1Fam,Sawyer,24827.34539999999
6980,5,1998,923,5,10,2008,1Fam,Mitchel,35873.975999999995
10157,4,1980,2504,8,6,2006,1Fam,NoRidge,424435.8503
12127,8,1912,1482,6,3,2008,1Fam,SWISU,-29981.766600000003
18490,4,1973,2055,7,8,2008,1Fam,NWAmes,230981.8516
9215,4,2010,1571,6,5,2009,1Fam,Somerst,452071.52410000004
9094,6,1912,1018,4,5,2008,1Fam,OldTown,10340.902799999996
2664,5,2003,1585,6,12,2008,Twnhs,Somerst,124664.31599999999
7190,3,1964,867,4,3,2006,1Fam,NAmes,27313.199999999997
10883,4,1998,1451,7,6,2009,1Fam,Gilbert,-16186.449600000022
5834,8,1964,1159,5,7,2006,1Fam,OldTown,52864.87359999999
8980,5,1905,863,4,6,2008,1Fam,IDOTRR,6653.358
8087,5,1962,1569,7,12,2007,Duplex,NAmes,24635.23139999999
7142,4,2005,1266,5,5,2006,1Fam,Somerst,53146.79639999999
7791,5,1994,1427,6,3,2009,1Fam,Gilbert,40521.67509999999
12747,4,1986,866,4,4,2008,1Fam,NAmes,-30785.629000000015
17624,4,1935,867,5,4,2006,1Fam,Sawyer,-80248.6992
2306,5,1976,1313,6,6,2009,TwnhsE,NPkVill,112595.5348
