Lot Area,Overall Cond,Year Built,Gr Liv Area,TotRms AbvGrd,Mo Sold,Yr Sold,Bldg Type,Neighborhood,SalePrice
24726,4,1985,1662,7,6,2009,1Fam,Gilbert,181337
2294,6,1962,1447,6,7,2009,Twnhs,NPkVill,149252
12666,4,1990,1727,8,7,2006,Duplex,Mitchel,151034
9841,5,2010,1218,6,1,2010,1Fam,Timber,179481
3178,5,2010,1222,4,8,2009,TwnhsE,Blmngtn,180433
15958,5,2008,2775,10,1,2006,1Fam,StoneBr,403372
8164,5,2001,1476,5,3,2009,1Fam,Gilbert,172971
16760,4,2001,1780,6,4,2009,1Fam,NridgHt,296661
9564,6,1950,1204,6,8,2009,1Fam,NAmes,129682
7036,5,1969,1507,7,6,2009,Duplex,SawyerW,114072
23392,4,2008,2023,9,9,2006,1Fam,Gilbert,274128
14179,5,2003,1028,6,8,2007,1Fam,CollgCr,139228
7204,5,1993,1198,6,11,2009,1Fam,Gilbert,164777
10126,5,2011,1686,7,8,2007,1Fam,Somerst,305945
7973,6,1924,1403,5,3,2008,1Fam,IDOTRR,89928
14947,4,1990,1628,6,11,2008,1Fam,Gilbert,172837
15329,5,2015,2061,6,8,2007,1Fam,NridgHt,452648
5957,6,1914,1156,5,7,2008,1Fam,BrkSide,119235
9531,5,2008,1700,6,1,2009,1Fam,NridgHt,274409
3171,5,1916,969,5,7,2007,1Fam,OldTown,100676
7763,5,2000,1741,5,11,2009,1Fam,SawyerW,170806
9590,5,2003,2474,9,10,2007,1Fam,NridgHt,315978
4451,5,2001,842,4,5,2009,TwnhsE,CollgCr,140938
9788,6,1967,1429,7,6,2008,1Fam,NAmes,184575
10061,4,1994,1205,4,8,2009,1Fam,SawyerW,184743
8847,5,1995,1387,7,3,2007,1Fam,Gilbert,161304
7612,8,1940,1032,4,3,2009,1Fam,NAmes,144711
8931,5,1971,1798,7,9,2009,Duplex,NAmes,136329
8442,6,1952,787,3,8,2009,1Fam,NAmes,112602
9852,6,1971,1113,5,7,2008,1Fam,Mitchel,171314
9151,5,2017,1461,5,6,2009,1Fam,CollgCr,239836
13132,5,1954,1729,9,11,2008,Duplex,NAmes,142770
11513,7,1914,1519,6,6,2006,1Fam,Crawfor,230725
4472,6,1908,937,5,5,2010,1Fam,OldTown,109487
2661,7,1977,1481,5,5,2008,TwnhsE,MeadowV,130029
8367,4,1976,942,4,6,2007,1Fam,Sawyer,133440
7033,7,1920,924,5,7,2008,1Fam,IDOTRR,125379
5373,6,1909,1488,6,9,2009,1Fam,OldTown,118921
11504,4,1958,947,4,8,2007,1Fam,Edwards,79939
1482,6,1975,1226,5,10,2009,TwnhsE,Blueste,136747
9041,4,1985,1203,5,6,2009,1Fam,CollgCr,177087
9681,6,1982,1310,7,6,2008,1Fam,NWAmes,146103
8018,5,1970,1547,8,12,2007,Duplex,NAmes,129460
7554,5,2014,1165,4,8,2009,1Fam,SawyerW,144612
14426,7,1985,2518,10,11,2006,1Fam,NoRidge,309729
2552,4,2012,1427,5,5,2010,Twnhs,Somerst,154154
13323,5,1973,1396,6,3,2009,1Fam,Mitchel,159761
13030,5,1994,1790,6,3,2010,1Fam,Mitchel,229336
12189,8,1963,2077,8,7,2007,1Fam,ClearCr,187779
7305,5,1945,409,3,3,2008,1Fam,OldTown,46769
8513,3,1927,671,3,6,2006,1Fam,IDOTRR,71923
13257,5,1978,2071,7,2,2010,1Fam,NWAmes,209529
8106,5,1985,1475,7,10,2008,1Fam,Gilbert,164832
9581,6,1944,1175,5,5,2006,1Fam,OldTown,120427
9608,6,1963,1330,7,12,2006,1Fam,NAmes,161137
8216,7,1960,865,4,4,2006,1Fam,Edwards,114917
6956,6,1953,1216,6,5,2007,1Fam,IDOTRR,141093
23194,5,2007,2031,9,9,2006,1Fam,Gilbert,273947
9851,2,1935,1114,6,3,2009,1Fam,Edwards,62520
9589,6,1958,1144,5,6,2010,1Fam,Edwards,128254
12815,6,1992,835,4,4,2010,1Fam,Mitchel,149059
5328,6,1986,1752,4,6,2006,TwnhsE,StoneBr,239904
8306,6,1902,1992,8,6,2007,2fmCon,IDOTRR,119255
8666,5,2004,1901,8,4,2006,1Fam,Gilbert,214770
8687,4,1911,1159,5,5,2007,1Fam,BrkSide,143940
9304,4,2006,1089,5,2,2008,1Fam,Mitchel,146418
10051,6,1952,1054,5,8,2008,1Fam,NAmes,145930
70207,5,1962,1528,5,12,2006,1Fam,ClearCr,279288
8012,7,1977,1193,6,3,2010,1Fam,Gilbert,185504
6672,6,1954,715,4,7,2008,1Fam,BrkSide,72728
7154,5,1973,864,5,9,2007,1Fam,CollgCr,127226
35159,4,1966,1579,4,5,2007,1Fam,Timber,188050
10637,4,1994,1348,6,3,2008,1Fam,CollgCr,178750
9026,6,1865,1756,7,6,2006,1Fam,OldTown,124709
10068,5,1967,1399,5,4,2006,1Fam,Mitchel,170418
12283,5,1931,731,5,10,2006,1Fam,IDOTRR,51282
8807,5,2002,1457,6,9,2007,1Fam,CollgCr,192644
7359,5,1994,1570,6,8,2007,TwnhsE,NridgHt,277011
10097,5,1984,1114,6,4,2009,1Fam,NWAmes,167383
7536,5,1994,2304,7,8,2007,1Fam,Gilbert,203256
8122,5,1968,858,4,10,2007,1Fam,Edwards,78973
7695,5,1990,1729,6,11,2009,1Fam,SawyerW,172274
6045,7,1952,905,4,8,2008,1Fam,OldTown,108252
11527,4,2001,1833,8,9,2006,1Fam,Timber,359261
6374,7,1954,1152,6,9,2006,1Fam,Edwards,122970
21041,4,2010,2095,7,1,2006,1Fam,Somerst,419911
4413,5,2000,843,3,11,2007,TwnhsE,CollgCr,132406
13037,4,1965,1233,6,6,2007,1Fam,Crawfor,152739
2654,6,1982,1311,4,6,2008,TwnhsE,MeadowV,114361
5325,7,1979,1776,4,6,2006,TwnhsE,StoneBr,240166
9902,4,2002,1216,6,6,2009,1Fam,Mitchel,172615
13602,5,1965,933,5,11,2006,1Fam,Sawyer,136076
5420,7,1940,1616,4,10,2007,1Fam,OldTown,151691
12901,5,1959,2156,8,6,2009,1Fam,NAmes,192450
14121,6,1970,1425,6,11,2006,1Fam,Sawyer,167352
10811,3,1955,1191,5,12,2006,1Fam,NAmes,134157
10293,5,2006,1474,8,7,2007,1Fam,Gilbert,177956
10686,4,1991,1651,6,11,2007,1Fam,Timber,249085
7448,4,2014,1802,6,4,2008,1Fam,Somerst,203415
6844,5,1951,1151,6,7,2008,Duplex,Edwards,82292
8180,7,1955,966,5,2,2007,1Fam,NAmes,136428
13592,6,1986,1991,5,4,2009,1Fam,Crawfor,207303
11599,5,1934,1074,4,11,2007,1Fam,NAmes,119551
12751,6,1996,1677,6,6,2008,1Fam,NWAmes,227716
3195,4,1997,1148,4,9,2009,TwnhsE,Blmngtn,160727
10594,6,2003,1648,5,4,2009,1Fam,CollgCr,211905
10848,9,1905,1531,5,7,2007,1Fam,OldTown,147157
5345,5,1992,1561,4,7,2007,TwnhsE,Somerst,206050
12295,5,2007,1950,5,10,2007,1Fam,Somerst,420032
22145,5,1937,2622,9,7,2006,2fmCon,OldTown,181350
5919,8,1899,1072,4,9,2008,1Fam,OldTown,94904
11996,5,2001,1402,7,10,2007,1Fam,Gilbert,165911
7188,4,1958,1366,6,2,2007,1Fam,NAmes,129857
16143,5,1995,1848,8,3,2006,1Fam,NridgHt,326081
4071,8,1941,1367,5,6,2009,1Fam,OldTown,128150
11265,5,2016,2517,10,6,2008,1Fam,StoneBr,324395
11559,5,1946,885,3,5,2008,1Fam,NAmes,116346
9064,6,1980,1056,5,6,2006,1Fam,Sawyer,142434
8700,6,1959,921,5,10,2006,1Fam,Sawyer,133034
3160,4,1993,1145,5,9,2009,TwnhsE,Blmngtn,159773
8315,6,1975,946,4,8,2007,1Fam,NAmes,127932
9315,6,1940,1642,6,7,2009,1Fam,Edwards,154228
10954,5,1915,2579,11,1,2007,Duplex,SWISU,148875
12808,6,1955,1002,3,1,2006,1Fam,NAmes,138695
2932,4,1999,1521,4,5,2006,TwnhsE,Blmngtn,248939
2648,4,1996,1607,7,12,2008,Twnhs,Somerst,199764
9322,2,1898,795,5,9,2009,1Fam,IDOTRR,43875
13770,6,1951,1177,6,10,2007,1Fam,Sawyer,136345
1687,4,1964,987,5,6,2006,Twnhs,BrDale,93862
18664,5,1960,1586,5,7,2006,1Fam,NWAmes,190921
13027,5,1978,1800,7,3,2010,1Fam,Mitchel,230851
11799,4,1944,1114,4,6,2010,1Fam,Edwards,64098
6847,5,2000,1495,4,6,2010,TwnhsE,StoneBr,212345
9195,4,1995,994,5,2,2008,1Fam,CollgCr,143922
8568,4,1956,1037,6,12,2006,Duplex,NAmes,81077
17436,4,1982,2488,6,1,2010,1Fam,NoRidge,357221
2441,4,1998,1625,6,10,2008,Twnhs,NridgHt,153959
11083,4,1960,1732,10,11,2008,Duplex,NAmes,145353
9575,6,1994,2217,11,2,2007,Duplex,Edwards,141668
25311,4,1961,1038,4,1,2007,1Fam,Mitchel,132693
8436,1,1901,1516,6,10,2009,1Fam,IDOTRR,85281
10579,4,2007,2147,8,11,2007,1Fam,NridgHt,327072
7171,7,1939,865,5,7,2007,1Fam,NAmes,128664
11875,6,1968,1968,7,11,2007,1Fam,NWAmes,189537
13473,6,1954,938,5,11,2006,1Fam,Sawyer,136609
8195,6,1933,2493,13,7,2009,Duplex,Crawfor,205477
9115,4,1930,1265,6,10,2009,1Fam,Edwards,105495
8094,4,2002,1789,7,6,2009,1Fam,Gilbert,179471
8729,5,2002,1562,6,8,2009,1Fam,Somerst,235290
12523,4,2001,1624,4,7,2006,1Fam,NoRidge,261613
9356,5,2010,1311,6,3,2007,1Fam,CollgCr,177506
5165,5,1940,1656,3,8,2009,1Fam,IDOTRR,136005
14011,6,1955,1808,5,7,2006,1Fam,Crawfor,228214
20036,6,1965,1218,7,9,2006,1Fam,Mitchel,131586
15370,4,2017,2216,7,7,2009,1Fam,NridgHt,380279
12368,4,2002,1975,5,10,2007,1Fam,Somerst,416844
11565,5,1972,1467,4,6,2006,1Fam,NAmes,157414
9073,6,1895,1024,5,5,2008,1Fam,OldTown,114682
3936,5,2012,1393,7,2,2007,TwnhsE,Blmngtn,193449
8195,5,1989,1471,6,2,2010,1Fam,NAmes,212765
24957,4,1967,1644,7,6,2007,Duplex,Mitchel,143754
7928,5,1960,1023,4,4,2007,1Fam,Sawyer,117898
3496,7,1952,1286,5,4,2009,1Fam,OldTown,109798
2638,5,1998,1614,6,6,2010,Twnhs,NridgHt,174587
8126,6,1943,864,5,4,2006,1Fam,Edwards,115102
7607,5,2001,1757,5,2,2010,TwnhsE,NridgHt,319646
9299,5,1995,1598,6,6,2006,1Fam,CollgCr,179898
7777,4,1963,905,4,11,2006,1Fam,NAmes,115626
12655,4,2020,1539,7,5,2009,1Fam,Somerst,251028
7429,7,1921,1254,5,6,2006,1Fam,BrkSide,126642
16602,5,2003,1762,6,6,2009,1Fam,ClearCr,233880
16459,5,1973,1834,7,12,2006,1Fam,Crawfor,222079
7160,7,1944,1038,5,6,2006,1Fam,NAmes,110244
4957,4,1996,1583,4,8,2008,TwnhsE,StoneBr,286743
12790,5,1963,2079,7,6,2009,1Fam,NWAmes,204515
40130,5,2014,4669,10,10,2007,1Fam,Edwards,186179
5141,4,2020,1301,5,3,2009,Twnhs,NridgHt,183527
8093,5,2016,1708,6,8,2006,TwnhsE,StoneBr,319066
4052,4,1997,1340,4,8,2008,TwnhsE,NAmes,182023
11228,5,1969,1036,5,2,2008,1Fam,Sawyer,129292
7737,5,1969,957,6,7,2006,1Fam,SawyerW,119427
10077,3,1922,1879,8,1,2007,2fmCon,OldTown,122601
11000,4,2010,2573,9,1,2007,1Fam,NoRidge,320553
10743,5,1897,720,4,11,2009,1Fam,OldTown,78460
9896,5,1977,1096,6,4,2008,1Fam,Edwards,122163
9886,7,1926,1940,8,6,2009,1Fam,OldTown,180021
12973,6,1963,913,4,9,2008,1Fam,Sawyer,144689
7320,6,1949,970,5,8,2006,1Fam,IDOTRR,102769
8915,5,1905,948,3,5,2009,1Fam,BrkSide,121235
10097,4,1989,1698,7,3,2007,1Fam,Gilbert,160653
11822,4,2004,1553,6,7,2007,1Fam,Somerst,260235
13232,4,2013,1586,7,5,2008,1Fam,Somerst,241636
8160,4,2016,1448,6,10,2008,1Fam,CollgCr,189094
9513,5,1961,1645,6,2,2007,1Fam,NAmes,151981
8422,4,1990,1716,6,7,2007,1Fam,SawyerW,199821
8809,5,2016,2210,10,6,2009,1Fam,NridgHt,348157
13649,5,1977,1689,7,3,2007,1Fam,Sawyer,144485
8901,2,1931,1073,5,11,2007,1Fam,IDOTRR,66487
11411,4,1999,1826,6,4,2009,1Fam,CollgCr,270348
11150,5,1997,1944,8,7,2006,Duplex,Mitchel,170627
4585,4,1928,1342,6,5,2008,1Fam,OldTown,97571
11362,5,2014,1646,7,5,2007,1Fam,NridgHt,249141
10499,4,2020,1464,6,5,2010,1Fam,Somerst,272829
7381,5,1947,1094,4,9,2009,1Fam,Edwards,125462
16133,4,2013,1858,7,3,2006,1Fam,NridgHt,327141
7161,6,1961,894,5,5,2010,1Fam,NAmes,133965
16617,7,1919,2347,9,7,2006,1Fam,Crawfor,239011
12220,4,1998,1976,5,10,2007,1Fam,Somerst,421335
7590,7,1932,1436,7,6,2007,1Fam,Crawfor,190519
15652,7,1944,1533,6,10,2009,1Fam,Crawfor,156917
10414,5,1956,1221,4,7,2007,1Fam,NAmes,142861
13671,4,2014,2676,7,3,2009,1Fam,NridgHt,607077
14030,5,2014,2218,9,8,2006,1Fam,NridgHt,297819
7170,6,1976,985,5,11,2007,1Fam,NAmes,129559
13707,4,1998,1119,6,6,2008,1Fam,GrnHill,159064
10875,4,1966,1245,4,5,2008,1Fam,NAmes,157849
4713,5,1992,1637,4,12,2007,TwnhsE,Crawfor,236129
2981,4,2022,1230,4,6,2009,TwnhsE,Somerst,173936
8442,6,1969,1572,6,4,2010,1Fam,SawyerW,170537
4423,5,2017,843,2,5,2008,TwnhsE,CollgCr,140115
6347,5,2022,1364,5,6,2010,TwnhsE,NridgHt,224538
7396,5,1956,1083,4,9,2009,1Fam,Edwards,124058
10399,4,1952,999,4,11,2009,1Fam,NAmes,115134
8650,5,1954,929,4,10,2006,1Fam,Sawyer,133258
12116,4,2001,2535,7,6,2007,1Fam,NoRidge,382623
4054,5,1961,1069,3,7,2010,TwnhsE,NPkVill,127778
12033,3,1997,2577,9,11,2006,1Fam,SawyerW,210511
8357,7,1974,991,6,11,2008,1Fam,CollgCr,150308
18015,6,1975,1128,5,3,2007,1Fam,Gilbert,154130
4501,4,2007,1205,4,6,2009,TwnhsE,Mitchel,162002
4418,4,1989,852,4,4,2006,TwnhsE,CollgCr,132493
6986,4,1986,1541,8,6,2009,Duplex,SawyerW,118792
11193,6,1969,1213,5,6,2006,1Fam,Veenker,166298
5943,8,1898,1077,5,9,2008,1Fam,OldTown,94623
11328,5,1987,1511,6,5,2008,1Fam,NWAmes,181152
10283,6,1927,837,4,5,2008,1Fam,BrkSide,130266
5501,5,2011,1080,4,5,2006,1Fam,SWISU,157012
10418,5,1994,2721,8,8,2007,1Fam,SawyerW,301460
5983,7,1951,960,4,6,2006,2fmCon,OldTown,135932
7451,5,1996,1936,7,6,2007,1Fam,Somerst,237811
14484,5,2008,1850,7,3,2009,1Fam,Timber,315661
7849,4,2013,1963,7,5,2010,1Fam,Gilbert,216322
8717,7,1927,1404,6,7,2007,1Fam,BrkSide,154538
8609,5,2010,1745,6,8,2006,1Fam,CollgCr,204651
10322,7,1911,1272,6,8,2007,1Fam,OldTown,127833
10143,4,1998,1620,6,7,2009,1Fam,Gilbert,189714
21012,4,1991,2083,7,1,2006,1Fam,Somerst,419622
23256,5,2008,2034,8,9,2006,1Fam,Gilbert,273211
6266,5,1933,1361,5,11,2007,1Fam,BrkSide,128246
7238,6,1967,1592,6,3,2008,1Fam,NAmes,150283
35810,5,1988,3621,9,7,2006,1Fam,NoRidge,621346
12405,5,1998,1835,6,6,2009,1Fam,CollgCr,231835
9059,4,2015,1597,5,6,2009,1Fam,Somerst,208892
8150,4,1933,537,3,4,2010,1Fam,IDOTRR,82639
6925,4,1998,1366,5,9,2006,TwnhsE,NridgHt,202833
7147,3,1945,1537,7,8,2007,1Fam,NAmes,115453
1679,5,1977,1085,5,10,2006,Twnhs,BrDale,107341
10571,5,1957,1766,7,5,2010,1Fam,NAmes,136975
3853,6,1985,1305,3,7,2007,TwnhsE,Greens,214766
10660,6,1968,886,4,2,2010,1Fam,CollgCr,128289
11165,4,2000,2489,9,10,2009,1Fam,Somerst,469569
8283,5,1973,869,5,6,2007,1Fam,NAmes,123403
5501,5,2009,1073,3,5,2006,1Fam,SWISU,157435
9081,8,1947,2355,9,5,2010,1Fam,Crawfor,266314
10487,5,1995,2033,8,2,2008,1Fam,SawyerW,228320
9261,4,1938,752,4,6,2010,1Fam,Sawyer,84381
9841,3,1944,1113,5,3,2009,1Fam,Edwards,63018
10834,6,1976,811,3,6,2006,1Fam,Sawyer,129727
14783,4,2013,1769,6,8,2006,1Fam,NridgHt,375767
6969,7,1972,1135,6,4,2007,1Fam,NAmes,135622
53010,6,1947,1656,5,3,2008,1Fam,ClearCr,256969
9779,7,1967,891,4,7,2006,1Fam,CollgCr,149765
8977,5,1994,1465,7,7,2007,1Fam,Gilbert,180073
16154,5,1990,1489,5,8,2007,1Fam,SawyerW,216653
9966,5,2013,1441,7,12,2007,1Fam,Gilbert,168795
8948,3,1909,824,4,9,2006,1Fam,IDOTRR,71957
7188,6,1982,1044,5,7,2006,1Fam,Sawyer,159222
8710,4,2002,1776,7,4,2009,1Fam,CollgCr,200758
10764,7,1945,1455,6,8,2009,1Fam,NAmes,132792
9524,5,1962,1048,4,6,2009,1Fam,NAmes,127898
5039,6,1920,1020,5,4,2008,1Fam,BrkSide,112383
13956,4,1994,1851,8,11,2006,1Fam,Gilbert,218715
6575,5,1946,720,4,7,2008,1Fam,BrkSide,72732
8087,5,2003,1548,6,3,2006,1Fam,Somerst,185543
8153,4,2006,1474,6,6,2007,1Fam,CollgCr,179766
8333,4,1958,1705,7,6,2006,Duplex,NAmes,144410
7938,8,1978,1031,4,7,2009,1Fam,NAmes,157000
3198,5,1993,1461,6,5,2006,TwnhsE,Blmngtn,216686
9870,5,1977,1257,6,6,2008,1Fam,Edwards,147329
17537,4,1965,1468,6,12,2009,1Fam,NAmes,156391
8359,6,1941,1349,5,6,2008,1Fam,Sawyer,151294
6980,5,1998,923,5,10,2008,1Fam,Mitchel,118788
10157,4,1980,2504,8,6,2006,1Fam,NoRidge,322349
12127,8,1912,1482,6,3,2008,1Fam,SWISU,140958
18490,4,1973,2055,7,8,2008,1Fam,NWAmes,233822
9215,4,2010,1571,6,5,2009,1Fam,Somerst,287577
9094,6,1912,1018,4,5,2008,1Fam,OldTown,114138
2664,5,2003,1585,6,12,2008,Twnhs,Somerst,169935
7190,3,1964,867,4,3,2006,1Fam,NAmes,97200
10883,4,1998,1451,7,6,2009,1Fam,Gilbert,183312
5834,8,1964,1159,5,7,2006,1Fam,OldTown,126896
8980,5,1905,863,4,6,2008,1Fam,IDOTRR,65229
8087,5,1962,1569,7,12,2007,Duplex,NAmes,128778
7142,4,2005,1266,5,5,2006,1Fam,Somerst,185958
7791,5,1994,1427,6,3,2009,1Fam,Gilbert,183439
12747,4,1986,866,4,4,2008,1Fam,NAmes,112070
17624,4,1935,867,5,4,2006,1Fam,Sawyer,105258
2306,5,1976,1313,6,6,2009,TwnhsE,NPkVill,146342
9580,5,1947,1261,5,5,2007,1Fam,NAmes,158675
18172,6,1957,3062,11,3,2007,1Fam,ClearCr,200364
6340,6,1920,1473,8,6,2008,1Fam,OldTown,128708
5086,4,2002,1096,4,3,2007,TwnhsE,Somerst,148519
10961,4,2005,1896,7,6,2006,1Fam,NridgHt,276724
7245,4,1987,1921,7,7,2009,1Fam,Edwards,197777
11173,5,2011,2470,9,10,2009,1Fam,Somerst,471468
9310,5,1999,1703,7,4,2010,1Fam,CollgCr,190740
7237,4,1998,2529,8,11,2009,TwnhsE,StoneBr,374691
7169,5,1949,904,5,10,2009,1Fam,Sawyer,122300
9430,6,1970,1292,5,11,2009,1Fam,Mitchel,173106
9448,4,1954,1876,8,12,2009,Duplex,NAmes,134791
9047,5,2015,1606,5,5,2010,1Fam,Somerst,220186
9312,5,1977,867,4,7,2006,1Fam,NAmes,116671
17711,9,1985,2365,7,7,2009,1Fam,Crawfor,313613
8897,5,1937,1221,5,4,2006,1Fam,Edwards,101673
11298,5,2003,1925,6,4,2007,1Fam,Timber,283507
11206,2,1978,1288,4,6,2010,1Fam,Edwards,113639
25145,5,1956,1041,4,1,2007,1Fam,Mitchel,131995
11104,4,1976,1956,7,9,2008,1Fam,Mitchel,172370
10375,5,1953,1815,8,5,2010,1Fam,NWAmes,218693
14104,5,2009,2164,8,8,2007,1Fam,NridgHt,281927
3094,5,1989,1548,7,9,2006,TwnhsE,Blmngtn,223408
16466,4,2020,2597,11,8,2006,1Fam,NridgHt,412137
10844,6,1967,1758,6,8,2006,1Fam,NAmes,183963
8699,4,1968,1560,7,5,2007,Duplex,NAmes,126715
9043,4,1999,1545,5,10,2009,1Fam,SawyerW,184822
8685,7,1893,1171,7,1,2010,1Fam,IDOTRR,102948
9038,6,1968,1339,6,6,2007,1Fam,Edwards,119657
10333,6,1978,1398,5,7,2009,1Fam,SawyerW,163101
6765,7,1951,918,4,5,2008,1Fam,Sawyer,141122
9230,3,1933,1367,6,3,2008,1Fam,Crawfor,110365
9371,4,1948,1351,5,6,2006,1Fam,Edwards,145614
9579,4,2014,1717,6,1,2009,1Fam,NridgHt,276245
13143,3,1969,1803,8,1,2006,1Fam,Sawyer,155369
9701,5,2005,1587,6,12,2009,1Fam,Gilbert,177142
7828,6,2011,1438,6,6,2009,1Fam,Gilbert,167461
8454,5,1955,811,5,5,2010,Duplex,IDOTRR,109734
6034,8,1891,1542,7,2,2008,1Fam,OldTown,129135
4507,6,1928,1284,3,7,2007,2fmCon,SWISU,108695
7717,5,2016,1413,7,3,2009,1Fam,Gilbert,183749
9376,4,2005,1797,7,5,2007,1Fam,CollgCr,205189
3443,4,2008,1253,4,6,2008,TwnhsE,Somerst,178932
2309,6,1981,1059,4,4,2007,Twnhs,NPkVill,142321
10316,7,1968,936,3,7,2006,1Fam,Sawyer,131535
7895,6,1978,997,6,3,2006,1Fam,Mitchel,141728
8778,5,1957,1250,5,3,2006,1Fam,NAmes,160491
11509,4,2003,2043,6,3,2006,1Fam,Landmrk,371787
11475,4,2014,1724,7,1,2008,1Fam,Timber,299407
15585,5,2018,1904,8,7,2006,1Fam,CollgCr,234486
14464,7,1952,1364,6,6,2009,1Fam,NAmes,165939
9811,4,1925,1081,6,5,2006,1Fam,IDOTRR,91552
